date,sale,stock,price
2021-03-20,219,856,1.29
2021-03-21,381,475,1.29
2021-03-22,158,317,1.29
2021-03-23,12,304,1.49
2021-03-24,8,296,1.29
2021-03-25,10,286,1.29
2021-03-26,88,774,1.29
2021-03-27,196,770,1.29
2021-03-28,206,660,1.29
2021-03-29,83,577,1.29
2021-03-30,0,673,1.49
2021-03-31,0,673,1.49
2021-04-01,27,646,1.49
2021-04-02,27,1002,1.49
2021-04-03,54,1044,1.49
2021-04-04,136,908,1.49
2021-04-05,55,853,1.49
2021-04-06,22,831,1.49
2021-04-07,30,801,1.49
2021-04-08,30,771,1.49
2021-04-09,30,930,1.49
2021-04-10,44,1078,1.49
2021-04-11,39,1423,1.49
2021-04-12,57,1366,1.49
2021-04-13,30,1336,1.49
2021-04-14,47,1385,1.49
2021-04-15,74,1311,1.49
2021-04-16,114,1196,1.39
2021-04-17,40,1156,1.39
2021-04-18,62,1094,1.39
2021-04-19,62,1032,1.39
2021-04-20,135,897,1.39
2021-04-21,175,722,1.39
2021-04-22,82,736,1.39
2021-04-23,62,674,1.4
2021-04-24,88,586,1.4
2021-04-25,152,434,1.4
2021-04-26,64,370,1.4
2021-04-27,67,591,1.4
2021-04-28,73,806,1.39
2021-04-29,130,676,1.39
2021-04-30,115,657,1.39
2021-05-01,260,397,1.39
2021-05-02,228,169,1.39
2021-05-03,120,49,1.39
2021-05-04,31,18,1.39
2021-05-05,0,18,1.39
2021-05-06,3,15,1.39
2021-05-07,0,15,1.39
2021-05-08,0,15,1.39
2021-05-09,0,15,0
2021-05-10,0,15,1.49
2021-05-11,1,14,1.49
2021-05-12,0,14,1.49
2021-05-13,1,13,1.49
2021-05-14,1,12,1.49
2021-05-15,1,10,1.49
2021-05-16,0,10,1.49
2021-05-17,0,10,1.49
2021-05-18,0,10,1.49
2021-05-19,1,9,1.49
2021-05-20,0,9,1.49
2021-05-21,0,9,1.49
2021-05-22,0,9,1.49
2021-05-23,0,9,1.49
2021-05-24,0,9,1.49
2021-05-25,0,9,1.39
2021-05-26,0,9,1.39
2021-05-27,0,9,1.39
2021-05-28,0,9,1.39
2021-05-29,0,9,1.39
2021-05-30,0,9,1.39
2021-05-31,0,9,1.39
2021-06-01,0,105,1.39
2021-06-02,0,105,1.39
2021-06-03,0,105,1.39
2021-06-04,0,105,1.39
2021-06-05,168,1377,1.39
2021-06-06,201,1176,1.2
2021-06-07,147,1029,1.19
